epoch,total_loss,ce_loss,coral_loss,train_src_acc,val_loss,val_acc,tgt_test_acc
1,0.05685,0.01086,0.00046,0.99715,0.01136,0.99717,0.7615
2,0.0094,0.00478,5e-05,0.99887,0.01195,0.9965,0.7853
3,0.00575,0.00305,3e-05,0.99931,0.00704,0.99767,0.8616
4,0.00457,0.0025,2e-05,0.99944,0.0064,0.99867,0.8427
5,0.00432,0.00266,2e-05,0.99933,0.00556,0.99867,0.8545
6,0.00213,0.00109,1e-05,0.99981,0.00826,0.997,0.8416
7,0.00215,0.00116,1e-05,0.99972,0.00751,0.99783,0.8373
8,0.00261,0.00158,1e-05,0.99959,0.00782,0.9985,0.8184
9,0.00189,0.00109,1e-05,0.99974,0.00465,0.99883,0.8782
10,0.00122,0.00065,1e-05,0.99983,0.00626,0.99817,0.8481
11,0.00083,0.00039,0.0,0.99996,0.00646,0.99833,0.8493
12,0.00064,0.00024,0.0,0.99998,0.00626,0.99867,0.8575
13,0.00057,0.00023,0.0,0.99996,0.00694,0.9985,0.8421
14,0.00046,0.00017,0.0,1.0,0.00772,0.9985,0.832
15,0.00042,0.00017,0.0,0.99998,0.00604,0.99867,0.8567
16,0.00038,0.00013,0.0,0.99998,0.00653,0.99833,0.8526
17,0.00032,0.0001,0.0,1.0,0.00655,0.99833,0.8504
18,0.00034,0.00013,0.0,0.99998,0.00728,0.9985,0.848
19,0.0003,0.0001,0.0,1.0,0.00699,0.99833,0.8495
20,0.0003,9e-05,0.0,1.0,0.00692,0.99817,0.8519
