epoch,train_loss,train_acc,val_loss,val_acc,tgt_test_acc
1,0.16077,0.96427,0.06689,0.98211,0.9798
2,0.06346,0.98169,0.0475,0.98689,0.9842
3,0.04559,0.98531,0.04022,0.98789,0.9861
4,0.03755,0.98776,0.03486,0.98944,0.9873
5,0.03124,0.9892,0.03226,0.98956,0.9889
6,0.02646,0.99043,0.03068,0.99022,0.9895
7,0.02453,0.99124,0.0294,0.99067,0.9896
8,0.02089,0.99247,0.02907,0.99067,0.9902
9,0.01819,0.99378,0.02887,0.991,0.9905
10,0.01635,0.99453,0.02851,0.99167,0.9904
11,0.01427,0.99471,0.02871,0.99178,0.9904
12,0.01311,0.99555,0.02652,0.99189,0.9909
13,0.01231,0.99555,0.02736,0.99178,0.9902
14,0.01233,0.99561,0.02794,0.99167,0.9905
15,0.01146,0.99618,0.02747,0.99156,0.9906
16,0.01097,0.99641,0.02749,0.99167,0.9908
17,0.01052,0.99647,0.02806,0.99211,0.9907
18,0.01046,0.99651,0.02732,0.992,0.9908
19,0.00981,0.99657,0.02697,0.99189,0.9909
20,0.00953,0.9969,0.02787,0.992,0.9905
